1 7 0.1
3 50 0.41
3 71 0.36
3 48 0.56
11 30 0.93
18 3 0.07
18 14 0.14
18 50 0.47
18 47 0.54
18 60 0.2
18 48 0.18
21 68 0.13
27 6 0.57
27 7 0.14
27 53 0.02
30 22 0.29
30 87 0.29
31 1 0.39
31 94 0.26
31 56 0.11
31 53 0.01
35 6 0.38
35 27 0.49
35 29 0.54
35 83 0.12
35 81 0.1
35 64 0.41
35 44 0.02
43 66 0.5
43 72 0.16
43 61 0.72
47 3 0.04
47 14 0.42
47 33 0.03
47 42 0.01
47 60 0.24
47 48 0.26
49 36 0.5
49 44 0.33
49 81 0.04
49 79 0.41
50 47 0.48
50 48 0.59
50 71 0.11
56 12 0.05
56 27 0.13
56 35 0.34
56 55 0.45
56 58 0.54
56 64 0.12
56 62 0.15
60 3 0.65
60 4 0.41
60 14 0.49
60 46 0.08
60 48 0.85
60 50 0.61
61 17 0.36
61 24 0.27
61 72 0.09
68 24 0.09
68 28 0.58
68 43 0.1
68 66 0.21
68 72 0.18
77 4 0.14
77 23 0.28
77 46 0.22
77 51 0.46
77 71 0.1
77 78 0.18
80 40 0.41
80 52 0.13
80 57 0.54
80 59 0.06
80 65 0.25
80 98 0.37
82 38 0.34
82 52 0.06
82 80 0.07
83 6 0.62
83 27 0.33
83 29 0.45
85 26 0.19
85 76 0.28
91 13 0.38
91 40 0.33
91 45 0.01
91 52 0.02
91 57 0.47
91 65 0.27
91 80 0.84
91 82 0.01
99 25 0.06
99 54 0.65
99 70 0.16
99 75 0.41
99 84 0.18
99 92 0.42
99 95 0.15
